Name,Code
Afrikáans,af
Albanés,sq
Amárico,am
Árabe,ar
Armenio,hy
Asamés,as
Azerbaiyano (latino),az
Bengalí,bn
Bashkir,ba
Vasco,eu
Bhojpuri,bho
Bodo,brx
Bosnio (latino),bs
Búlgaro,bg
Cantonés (tradicional),yue
Catalán,ca
Chino (clásico),lzh
Chino simplificado,zh-Hans
Chino tradicional,zh-Hant
chiShona,sn
Croata,hr
Checo,cs
Danés,da
Dari,prs
Divehi,dv
Dogri,doi
Neerlandés,nl
Inglés,en
Estonio,et
Feroés,fo
Fiyiano,fj
Filipino,fil
Finés,fi
Francés,fr
Francés (Canadá),fr-ca
Gallego,gl
Georgiano,ka
Alemán,de
Griego,el
Gujarati,gu
Criollo haitiano,ht
Hausa,ha
Hebreo,he
Hindi,hi
Hmong Daw (Latín),mww
Húngaro,hu
Islandés,is
Igbo,ig
Indonesio,id
Inuinnaqtun,ikt
Inuktitut,iu
Inuktitut (latino),iu-Latn
Irlandés,ga
Italiano,it
Japonés,ja
Canarés,kn
Kashmiri,ks
Kazajo,kk
Jemer,km
Kinyarwanda,rw
Klingon,tlh-Latn
Klingon (plqaD),tlh-Piqd
Konkani,gom
Coreano,ko
Kurdo (central),ku
Kurdo (norte),kmr
Kirguís (cirílico),ky
Lao,lo
Letón,lv
Lituano,lt
Lingala,ln
Bajo sorbio,dsb
Luganda,lug
Macedonio,mk
Maithili,mai
Malgache,mg
Malayo (latino),ms
Malayalam,ml
Maltés,mt
Maori,mi
Maratí,mr
Mongol (cirílico),mn-Cyrl
Mongol (tradicional),mn-Mong
Myanmar,my
Nepalí,ne
Noruego,nb
Nyanja,nya
Odia,or
Pastún,ps
Persa,fa
Polaco,pl
Portugués (Brasil),pt
Portugués (Portugal),pt-pt
Punjabi,pa
Otomí Querétaro,otq
Rumano,ro
Rundi,run
Ruso,ru
Samoano (latino),sm
Serbio (cirílico),sr-Cyrl
Serbio (latino),sr-Latn
Sesotho,st
Sotho septentrional,nso
Setsuana,tn
Sindhi,sd
Cingalés,si
Eslovaco,sk
Esloveno,sl
Somalí (árabe),so
Español,es
Swahili (Latín),sw
Sueco,sv
Tahitiano,ty
Tamil,ta
Tártaro (Latín),tt
Telugu,te
Tailandés,th
Tibetano,bo
Tigriña,ti
Tongano,to
Turco,tr
Turcomano (latino),tk
Ucraniano,uk
Alto sorbio,hsb
Urdu,ur
Uigur (árabe),ug
Uzbeko (latino),uz
Vietnamita,vi
Galés,cy
Xhosa,xh
Yoruba,yo
Maya Yucateco,yua
Zulú,zu